y_test,y_pred,Length,Transactions,Entities,PointsNonAdjust,PointsAjust
5152.0,4886.71923828125,12.0,253.0,52.0,305.0,302.0
5635.0,5872.5244140625,4.0,197.0,124.0,321.0,315.0
805.0,1019.170654296875,1.0,40.0,60.0,100.0,83.0
3829.0,4191.04541015625,5.0,200.0,119.0,319.0,303.0
2149.0,2096.915771484375,4.0,140.0,94.0,234.0,208.0
2821.0,2852.14501953125,4.0,97.0,89.0,186.0,192.0
2569.0,2524.510986328125,9.0,119.0,42.0,161.0,145.0
3913.0,3623.256103515625,13.0,186.0,52.0,238.0,214.0
7854.0,7209.716796875,12.0,172.0,88.0,260.0,247.0
2422.0,2139.5595703125,4.0,78.0,38.0,116.0,103.0
4067.0,4201.2099609375,21.0,167.0,99.0,266.0,237.0
9051.0,8916.2373046875,17.0,146.0,112.0,258.0,271.0
2282.0,1903.3778076171875,3.0,33.0,72.0,105.0,88.0
4172.0,3564.76806640625,8.0,162.0,61.0,223.0,216.0
4977.0,6507.40380859375,9.0,223.0,121.0,344.0,320.0
1617.0,1495.4444580078125,8.0,119.0,48.0,167.0,152.0
3192.0,3208.75048828125,8.0,57.0,43.0,100.0,108.0
3437.0,3636.161865234375,14.0,68.0,316.0,384.0,326.0
4494.0,4499.458984375,14.0,9.0,386.0,395.0,340.0
840.0,1328.148681640625,5.0,58.0,34.0,92.0,86.0
14973.0,15078.15625,12.0,318.0,269.0,587.0,581.0
5180.0,4861.34033203125,18.0,88.0,170.0,258.0,255.0
5775.0,5915.126953125,5.0,306.0,132.0,438.0,447.0
10577.0,10527.1787109375,20.0,304.0,78.0,382.0,397.0
3983.0,3449.949462890625,8.0,89.0,200.0,289.0,283.0
3164.0,3414.92138671875,14.0,86.0,230.0,316.0,310.0
3542.0,3613.055419921875,6.0,71.0,235.0,306.0,312.0
4277.0,5954.77294921875,14.0,148.0,324.0,472.0,491.0
7252.0,8345.0107421875,16.0,116.0,170.0,286.0,263.0
3948.0,4058.742431640625,14.0,175.0,277.0,452.0,461.0
3927.0,4390.0537109375,6.0,79.0,128.0,207.0,190.0
710.0,678.1707763671875,9.0,145.0,38.0,183.0,168.0
2429.0,2488.518310546875,9.0,174.0,78.0,252.0,267.0
6405.0,6089.38037109375,5.0,194.0,91.0,285.0,285.0
651.0,797.4874267578125,3.0,126.0,49.0,175.0,180.0
9135.0,9271.591796875,17.0,317.0,119.0,436.0,432.0
1435.0,1280.2044677734375,11.0,289.0,88.0,377.0,351.0
5922.0,4743.7626953125,8.0,260.0,144.0,404.0,360.0
847.0,866.5120849609375,4.0,158.0,59.0,217.0,180.0
8050.0,8154.46826171875,16.0,302.0,145.0,447.0,523.0
4620.0,4641.08349609375,9.0,451.0,48.0,499.0,464.0
2352.0,2177.516357421875,34.0,661.0,132.0,793.0,698.0
2174.0,2147.249755859375,10.0,64.0,54.0,118.0,106.0
19894.0,19905.306640625,39.0,284.0,230.0,514.0,591.0
6699.0,6906.29736328125,18.0,182.0,126.0,308.0,308.0
14987.0,14903.7646484375,27.0,173.0,332.0,505.0,424.0
4004.0,4023.4873046875,9.0,252.0,7.0,259.0,241.0
12824.0,12334.099609375,11.0,131.0,180.0,311.0,361.0
2331.0,1849.5894775390625,8.0,106.0,39.0,145.0,103.0
5817.0,5636.02783203125,9.0,96.0,108.0,204.0,192.0
2989.0,3128.54736328125,7.0,116.0,72.0,188.0,156.0
3136.0,3023.757568359375,6.0,86.0,49.0,135.0,131.0
14434.0,14296.134765625,17.0,221.0,121.0,342.0,342.0
2583.0,2388.349853515625,12.0,61.0,96.0,157.0,130.0
3647.0,3049.981689453125,12.0,132.0,89.0,221.0,155.0
8232.0,8237.5361328125,13.0,45.0,387.0,432.0,350.0
3276.0,3697.870849609375,12.0,55.0,112.0,167.0,129.0
2723.0,2103.13232421875,8.0,124.0,52.0,176.0,139.0
3472.0,3296.96337890625,5.0,120.0,126.0,246.0,197.0
1575.0,1053.3319091796875,6.0,47.0,32.0,79.0,62.0
2926.0,3551.5517578125,12.0,126.0,107.0,233.0,205.0
1876.0,2165.51806640625,6.0,101.0,45.0,146.0,117.0
2520.0,2830.123779296875,5.0,78.0,99.0,177.0,140.0
1603.0,1502.5030517578125,13.0,69.0,74.0,143.0,113.0
3626.0,3592.988525390625,8.0,194.0,97.0,291.0,291.0
6783.0,6468.38330078125,10.0,224.0,110.0,334.0,309.0
11361.0,11373.39453125,15.0,323.0,184.0,507.0,507.0
1267.0,1273.719482421875,6.0,42.0,31.0,73.0,67.0
2548.0,2042.13134765625,5.0,74.0,43.0,117.0,105.0
1155.0,1474.603515625,10.0,101.0,57.0,158.0,117.0
546.0,1638.6627197265625,6.0,97.0,42.0,139.0,99.0
2275.0,2192.708251953125,13.0,134.0,77.0,211.0,165.0
9100.0,9271.4248046875,26.0,482.0,227.0,709.0,645.0
595.0,581.9939575195312,6.0,213.0,73.0,286.0,203.0
3941.0,3973.66796875,22.0,139.0,143.0,282.0,245.0
13860.0,13969.9873046875,24.0,473.0,182.0,655.0,688.0
1400.0,1580.9547119140625,12.0,229.0,169.0,398.0,414.0
2800.0,3939.9873046875,12.0,227.0,73.0,300.0,297.0
9520.0,9606.41015625,24.0,395.0,193.0,588.0,617.0
5880.0,6011.89013671875,12.0,469.0,176.0,645.0,697.0
23940.0,23940.232421875,36.0,886.0,241.0,1127.0,1116.0
